svg_id,status,owner_name,owner_phone,broker_name,rate_paise,booking_amount_paise,booking_date,registry_date,notes
plot-A-01,booked,Deepak Chouhan,9204615284,Direct,18000000,55665000,2026-05-11,,
plot-A-02,registered,Pooja Malviya,9321146487,Anil,24000000,296880000,2026-07-20,2026-07-28,
plot-A-03,available,,,,,,,,
plot-A-04,available,,,,,,,,
plot-A-05,available,,,,,,,,
plot-A-06,available,,,,,,,,
plot-A-07,available,,,,,,,,
plot-A-08,available,,,,,,,,
plot-A-09,booked,Neha Agrawal,9488246102,Sunita,19500000,43875000,2026-07-15,,
plot-A-10,available,,,,,,,,
plot-A-11,registered,Mohan Yadav,9187891151,Direct,21000000,189000000,2026-05-25,2026-06-24,
plot-A-12,registered,Kavita Sharma,9753864767,Vikas,18000000,162000000,2026-05-23,2026-05-20,
plot-A-13,booked,Anita Verma,9625020128,Anil,18000000,40500000,2026-06-12,,
plot-A-14,available,,,,,,,,
plot-A-15,available,,,,,,,,
plot-A-16,available,,,,,,,,
plot-A-17,available,,,,,,,,
plot-A-18,available,,,,,,,,
plot-A-19,registered,Vikram Rathore,9715281916,Sunita,21000000,189000000,2026-06-21,2026-08-25,
plot-A-20,booked,Pooja Malviya,9955656247,Anil,18000000,40500000,2026-07-12,,
plot-A-21,booked,Kavita Sharma,9609059210,Vikas,18000000,40500000,2026-06-19,,
plot-A-22,registered,Pooja Malviya,9831472844,Anil,21000000,189000000,2026-06-22,2026-06-10,
plot-A-23,available,,,,,,,,
plot-A-24,available,,,,,,,,
plot-A-25,booked,Neha Agrawal,9481676682,Rajesh,18000000,40500000,2026-04-11,,
plot-A-26,available,,,,,,,,
plot-A-27,booked,Mohan Yadav,9924883888,Sunita,19500000,43875000,2026-06-17,,
plot-A-28,available,,,,,,,,
plot-A-29,registered,Farhan Qureshi,9519779047,Anil,18000000,162000000,2026-02-24,2026-07-27,
plot-A-30,booked,Kavita Sharma,9247023327,Anil,21000000,47250000,2026-06-23,,
plot-B-01,registered,Deepak Chouhan,9833068297,Anil,19500000,241215000,2026-02-12,2026-05-14,
plot-B-02,available,,,,,,,,
plot-B-03,available,,,,,,,,
plot-B-04,available,,,,,,,,
plot-B-05,registered,Mohan Yadav,9807076898,Rajesh,18000000,222660000,2026-04-28,2026-05-18,
plot-B-06,registered,Kavita Sharma,9104395478,Rajesh,24000000,216000000,2026-05-21,2026-08-28,
plot-B-07,booked,Deepak Chouhan,9234745481,Direct,18000000,40500000,2026-04-27,,
plot-B-08,available,,,,,,,,
plot-B-09,registered,Farhan Qureshi,9527424008,Anil,24000000,216000000,2026-01-25,2026-07-11,
plot-B-10,available,,,,,,,,
plot-B-11,available,,,,,,,,
plot-B-12,available,,,,,,,,
plot-B-13,booked,Mohan Yadav,9172313951,Rajesh,24000000,54000000,2026-02-13,,
plot-B-14,available,,,,,,,,
plot-B-15,booked,Deepak Chouhan,9745025986,Vikas,18000000,40500000,2026-01-28,,
